location_id,naziv,grad,drzava,gps_lat,gps_lon
1,McDonald's Zagreb - Jurišićeva,Zagreb,Hrvatska,45.81200,15.97700
2,McDonald's Split - City Center One,Split,Hrvatska,43.51000,16.47800
3,McDonald's Rijeka - ZTC,Rijeka,Hrvatska,45.32700,14.44100
4,McDonald's Osijek - Avenue Mall,Osijek,Hrvatska,45.55200,18.69500
5,McDonald's Varaždin - Supernova,Varaždin,Hrvatska,46.30700,16.33800
6,McDonald's Dubrovnik - Lapad,Dubrovnik,Hrvatska,42.65300,18.08600
7,McDonald's Karlovac - Retail Park,Karlovac,Hrvatska,45.48800,15.54700
8,McDonald's Zadar - Supernova,Zadar,Hrvatska,44.11900,15.25500
9,McDonald's Pula - City Mall,Pula,Hrvatska,44.87000,13.84900
10,McDonald's Sisak - Caprag,Sisak,Hrvatska,45.47700,16.37900
